task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	b2/314a41	1224869	fastplong (1)	COMPLETED	0	2025-06-03 15:47:59.406	49.1s	46.6s	329.7%	2.2 GB	3 GB	1.4 GB	747.1 MB
2	01/c9b638	1224844	nanocomp	COMPLETED	0	2025-06-03 15:47:59.384	2m 59s	2m 56s	76.3%	3 GB	93.2 GB	943.6 MB	5.9 MB
3	9d/73f2e9	1243055	canu_racon (1)	COMPLETED	0	2025-06-03 15:50:58.355	3h 19m 24s	3h 19m 22s	481.0%	16.2 GB	41.3 GB	24.9 GB	10.3 GB
7	8e/420542	1365803	checkm (1)	COMPLETED	0	2025-06-03 19:10:23.287	1m 57s	1m 55s	94.7%	15.8 GB	32.9 GB	3 GB	15.9 MB
4	39/86c032	1365515	flye_medaka (1)	COMPLETED	0	2025-06-03 19:10:22.207	49m 4s	49m 2s	566.1%	11 GB	12.7 GB	46.9 GB	27.3 GB
6	49/6c5f9f	1436069	quast (1)	COMPLETED	0	2025-06-03 19:59:26.090	5.3s	2.8s	99.5%	119.4 MB	439.2 MB	159 MB	8.9 MB
5	46/47a74f	1436743	busco (1)	COMPLETED	0	2025-06-03 19:59:31.391	30.7s	28.6s	286.4%	5.1 GB	17.2 GB	1.9 GB	815.8 MB
10	89/48c917	1441634	busco (2)	COMPLETED	0	2025-06-03 20:00:02.107	29.1s	27.1s	304.5%	5.1 GB	17.2 GB	1.9 GB	804 MB
9	9c/6b604a	1447337	quast (2)	COMPLETED	0	2025-06-03 20:00:31.257	4.9s	2.8s	99.6%	119.1 MB	439.2 MB	159.3 MB	8.8 MB
8	1f/d303b5	1448073	checkm (2)	COMPLETED	0	2025-06-03 20:00:36.123	1m 50s	1m 48s	96.7%	14.8 GB	32.5 GB	3 GB	15.8 MB
