taxon_oid	Domain	Status	Phylum	Class	Order	Family	Genus	Species	NCBI Taxon ID	RefSeq Project ID	GenBank Project ID	Strain	Proposal GOLD ID	Bioproject Accession	Biotic Relationships	Genome Size	Gene Count	Scaffold Count	GC Count	Coding Base Count	N50
647533243	Bacteria	Draft	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	unclassified	unclassified	unclassified	382464	54739	19391	DG1235	Gi01425	PRJNA19391	Symbiotic	5775745	4957	6	3130299	5128090	5514226
645058870	Bacteria	Permanent Draft	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobia subdivision 3	Pedosphaera	parvula	320771	54925	20839	Ellin514	Gi01011	PRJNA20839	Free living	7414222	6573	102	3899003	6614968	116794
642555104	Bacteria	Finished	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	Akkermansia	muciniphila	349741	58985	20089	ATCC BAA-835	Gc00780	PRJNA20089	Free living	2664102	2238	1	1485566	2361407	2664102
2518645606	Bacteria	Permanent Draft	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	Rubritalea	marina	1123070	0	0	DSM 17716	Gi11865	PRJNA181370		3015175	2733	31	1554443	2734367	174050
641736179	Bacteria	Draft	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	Verrucomicrobium	spinosum	240016	54121	10620	DSM 4136	Gi00677	PRJNA10620	Free living	8220857	6584	1	4958124	7058194	8220857
2540341242	Bacteria	Permanent Draft	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	Verrucomicrobium	unclassified	1278314	0	0	LP2A	Gi14074	PRJNA185245		2465519	2391	3	1546922	2242136	1285429
2517572174	Bacteria	Permanent Draft	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	Verrucomicrobium	unclassified	1134055	0	0	3C	Gi14075	PRJNA165235		2772066	2950	8	1679935	2461562	2050659
641522643	Bacteria	Finished	Verrucomicrobia	Opitutae	Opitutales	Opitutaceae	Opitutus	terrae	452637	58965	19989	PB90-1	Gc00764	PRJNA19989	Free living	5957605	4701	1	3892767	5290771	5957605
2510065049	Bacteria	Finished	Verrucomicrobia	Opitutae	Opitutales	Opitutaceae	unclassified	unclassified	794903	81839	63271	TAV5	Gc0017744	PRJNA63271	Free living	7417673	6096	2	4706237	6624538	7317842
2508501067	Bacteria	Permanent Draft	Verrucomicrobia	Opitutae	Opitutales	Opitutaceae	unclassified	unclassified	278956	82717	62139	TAV1	Gi07564	PRJNA62139	Free living	7073483	6008	2	4470240	6262403	6196881
646564524	Bacteria	Finished	Verrucomicrobia	Opitutae	Puniceicoccales	Puniceicoccaceae	Coraliomargarita	akajimensis	583355	47079	33365	DSM 45221	Gc01256	PRJNA33365	Free living	3750771	3191	1	2010480	3393257	3750771
